id;product;name;quality;prefecture;region;longitude;latitude
188;Τυριά;Μανούρι;ΠΟΠ;Φλώρινας;Δυτικής Μακεδονίας;21.43435654;40.75141274
189;Τυριά;Κεφαλογραβιέρα;ΠΟΠ;Φλώρινας;Δυτικής Μακεδονίας;21.43435654;40.75141274
190;Ελιές;Κονσερβολιά Αμφίσσης;ΠΟΠ;Φωκίδας;Στερεάς Ελλάδας;22.25420164;38.53885771
191;Ελιές;Κονσερβολιά Αταλάντης;ΠΟΠ;Φωκίδας;Στερεάς Ελλάδας;22.25420164;38.53885771
192;Ελιές;Κονσερβολιά Στυλίδας;ΠΟΠ;Φωκίδας;Στερεάς Ελλάδας;22.25420164;38.53885771
193;Τυριά;Φέτα;ΠΟΠ;Φωκίδας;Στερεάς Ελλάδας;22.25420164;38.53885771
194;Τυριά;Μπάτζος;ΠΟΠ;Χαλκιδικής;Κεντρικής Μακεδονίας;23.55302223;40.31991723
195;Τυριά;Φέτα;ΠΟΠ;Χαλκιδικής;Κεντρικής Μακεδονίας;23.55302223;40.31991723
196;Τυριά;Κασέρι;ΠΟΠ;Χαλκιδικής;Κεντρικής Μακεδονίας;23.55302223;40.31991723
197;Τυριά;Μανούρι;ΠΟΠ;Χαλκιδικής;Κεντρικής Μακεδονίας;23.55302223;40.31991723
198;Ελαιόλαδο;Χανιά Κρήτης;ΠΓΕ;Χανίων;Κρήτης;23.92184948;35.37269776
199;Ελαιόλαδο;Κολυμβάρι Χανίων Κρήτης;ΠΟΠ;Χανίων;Κρήτης;23.92184948;35.37269776
200;Ελαιόλαδο;Αποκόρωνας Χανίων Κρήτης;ΠΟΠ;Χανίων;Κρήτης;23.92184948;35.37269776
201;Ελαιόλαδο;Εξαιρετικό παρθένο ελαιόλαδο Σέλινο Κρήτης;ΠΟΠ;Χανίων;Κρήτης;23.92184948;35.37269776
202;Φρούτα και Λαχανικά;Πορτοκάλια Μάλεμε Χανίων Κρήτης;ΠΟΠ;Χανίων;Κρήτης;23.92184948;35.37269776
203;Τυριά;Γραβιέρα Κρήτης;ΠΟΠ;Χανίων;Κρήτης;23.92184948;35.37269776
204;Τυριά;Ξυνομυζήθρα Κρήτης;ΠΟΠ;Χανίων;Κρήτης;23.92184948;35.37269776
205;Τυριά;Πηχτόγαλο Χανίων;ΠΟΠ;Χανίων;Κρήτης;23.92184948;35.37269776
206;Αρτοποιίας;Κρητικό Παξιμάδι;ΠΓΕ;Χανίων;Κρήτης;23.92184948;35.37269776
207;Ελιές;Θρούμπα Χίου;ΠΟΠ;Χίου;Βορείου Αιγαίου;25.99915334;38.41222632
208;Γόμες-Ρητίνες;Τσίκλα Χίου;ΠΟΠ;Χίου;Βορείου Αιγαίου;25.99915334;38.41222632
209;Γόμες-Ρητίνες;Μαστίχα Χίου;ΠΟΠ;Χίου;Βορείου Αιγαίου;25.99915334;38.41222632
210;Αιθέρια έλαια;Μαστιχέλαιο Χίου;ΠΟΠ;Χίου;Βορείου Αιγαίου;25.99915334;38.41222632
