year,country,wine_type,activity_type,quantity
2007,Hungary,Quality wines P.S.R. - Total,Total production other than for vinification (1000 hl),0
2007,Hungary,Quality wines P.S.R. - Total,Losses from evaporation (1000 hl),0
2007,Hungary,Quality wines P.S.R. - Total,Imports from EU (1000 t),61
2007,Hungary,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2007,Hungary,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),153.7
2007,Hungary,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),2151.6
2007,Hungary,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),90551
2007,Hungary,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2007,Hungary,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2007,Hungary,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),32.2
2008,Hungary,Vermouth,Official production (1000 hl),0
2008,Hungary,Vermouth,Most intended for the production of grape juice (1000 hl),0
2008,Hungary,Vermouth,Usable production (1000 hl),0
2008,Hungary,Vermouth,Total production other than for vinification (1000 hl),0
2008,Hungary,Vermouth,Losses from evaporation (1000 hl),0
2008,Hungary,Vermouth,Imports from EU (1000 t),0
2008,Hungary,Vermouth,Imports from third countries (1000 hl),0
2008,Hungary,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2008,Hungary,Vermouth,Gross human consumption (1000 hl),0
2008,Hungary,Vermouth,Degree of self-sufficiency (%),0
2008,Hungary,Vermouth,Vinegar manufacture (1000 hl),0
2008,Hungary,Vermouth,Imports0 bottled (1000 hl),0
2008,Hungary,Vermouth,Exports0 bottled (1000 hl),0
2008,Hungary,Wine - Total,Official production (1000 hl),3221.7
2008,Hungary,Wine - Total,Most intended for the production of grape juice (1000 hl),0
2008,Hungary,Wine - Total,Usable production (1000 hl),3221.7
2008,Hungary,Wine - Total,Total production other than for vinification (1000 hl),0
2008,Hungary,Wine - Total,Losses from evaporation (1000 hl),0
2008,Hungary,Wine - Total,Imports from EU (1000 t),0
2008,Hungary,Wine - Total,Imports from third countries (1000 hl),7.1
2008,Hungary,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),723.8
2008,Hungary,Wine - Total,Gross human consumption (1000 hl),2491.2
2008,Hungary,Wine - Total,Degree of self-sufficiency (%),124198
2008,Hungary,Wine - Total,Vinegar manufacture (1000 hl),0
2008,Hungary,Wine - Total,Imports0 bottled (1000 hl),0.8
2008,Hungary,Wine - Total,Exports0 bottled (1000 hl),70
2008,Hungary,Red and rose wine,Official production (1000 hl),0
2008,Hungary,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2008,Hungary,Red and rose wine,Usable production (1000 hl),0
2008,Hungary,Red and rose wine,Total production other than for vinification (1000 hl),0
2008,Hungary,Red and rose wine,Losses from evaporation (1000 hl),0
2008,Hungary,Red and rose wine,Imports from EU (1000 t),0
2008,Hungary,Red and rose wine,Imports from third countries (1000 hl),0
2008,Hungary,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2008,Hungary,Red and rose wine,Gross human consumption (1000 hl),0
2008,Hungary,Red and rose wine,Degree of self-sufficiency (%),-1776
2008,Hungary,Red and rose wine,Vinegar manufacture (1000 hl),0
2008,Hungary,Red and rose wine,Imports0 bottled (1000 hl),0
2008,Hungary,Red and rose wine,Exports0 bottled (1000 hl),0
2008,Hungary,White wine,Official production (1000 hl),2192.7
2008,Hungary,White wine,Most intended for the production of grape juice (1000 hl),0
2008,Hungary,White wine,Usable production (1000 hl),2192.7
2008,Hungary,White wine,Total production other than for vinification (1000 hl),0
2008,Hungary,White wine,Losses from evaporation (1000 hl),0
2008,Hungary,White wine,Imports from EU (1000 t),0
2008,Hungary,White wine,Imports from third countries (1000 hl),1.3
2008,Hungary,White wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),585.5
2008,Hungary,White wine,Gross human consumption (1000 hl),1664.2
2008,Hungary,White wine,Degree of self-sufficiency (%),125974
2008,Hungary,White wine,Vinegar manufacture (1000 hl),0
2008,Hungary,White wine,Imports0 bottled (1000 hl),0.2
2008,Hungary,White wine,Exports0 bottled (1000 hl),46.2
2008,Hungary,Quality wines P.S.R. - Total,Official production (1000 hl),2013.5
2008,Hungary,Quality wines P.S.R. - Total,Most intended for the production of grape juice (1000 hl),0
2008,Hungary,Quality wines P.S.R. - Total,Usable production (1000 hl),2013.5
2008,Hungary,Quality wines P.S.R. - Total,Total production other than for vinification (1000 hl),0
2008,Hungary,Quality wines P.S.R. - Total,Losses from evaporation (1000 hl),0
2008,Hungary,Quality wines P.S.R. - Total,Imports from EU (1000 t),0
2008,Hungary,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2008,Hungary,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),172.7
2008,Hungary,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),1642.2
2008,Hungary,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),120288
2008,Hungary,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2008,Hungary,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2008,Hungary,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),34.7
2009,Hungary,Vermouth,Official production (1000 hl),0
2009,Hungary,Vermouth,Most intended for the production of grape juice (1000 hl),0
2009,Hungary,Vermouth,Usable production (1000 hl),0
2009,Hungary,Vermouth,Total production other than for vinification (1000 hl),0
2009,Hungary,Vermouth,Losses from evaporation (1000 hl),0
2009,Hungary,Vermouth,Imports from EU (1000 t),0
2009,Hungary,Vermouth,Imports from third countries (1000 hl),0
2009,Hungary,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2009,Hungary,Vermouth,Gross human consumption (1000 hl),0
2009,Hungary,Vermouth,Degree of self-sufficiency (%),0
2009,Hungary,Vermouth,Vinegar manufacture (1000 hl),0
2009,Hungary,Vermouth,Imports0 bottled (1000 hl),0
2009,Hungary,Vermouth,Exports0 bottled (1000 hl),0
2009,Hungary,Wine - Total,Official production (1000 hl),3448.8
2009,Hungary,Wine - Total,Most intended for the production of grape juice (1000 hl),0
2009,Hungary,Wine - Total,Usable production (1000 hl),3448.8
2009,Hungary,Wine - Total,Total production other than for vinification (1000 hl),0
2009,Hungary,Wine - Total,Losses from evaporation (1000 hl),0
2009,Hungary,Wine - Total,Imports from EU (1000 t),0
2009,Hungary,Wine - Total,Imports from third countries (1000 hl),2.3
2009,Hungary,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),701.4
2009,Hungary,Wine - Total,Gross human consumption (1000 hl),2267.2
2009,Hungary,Wine - Total,Degree of self-sufficiency (%),146018
2009,Hungary,Wine - Total,Vinegar manufacture (1000 hl),0
2009,Hungary,Wine - Total,Imports0 bottled (1000 hl),0.9
2009,Hungary,Wine - Total,Exports0 bottled (1000 hl),41.8
2009,Hungary,Red and rose wine,Official production (1000 hl),0
2009,Hungary,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2009,Hungary,Red and rose wine,Usable production (1000 hl),0
2009,Hungary,Red and rose wine,Total production other than for vinification (1000 hl),0
2009,Hungary,Red and rose wine,Losses from evaporation (1000 hl),0
2009,Hungary,Red and rose wine,Imports from EU (1000 t),0
2009,Hungary,Red and rose wine,Imports from third countries (1000 hl),0
2009,Hungary,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2009,Hungary,Red and rose wine,Gross human consumption (1000 hl),0
2009,Hungary,Red and rose wine,Degree of self-sufficiency (%),-9861
2009,Hungary,Red and rose wine,Vinegar manufacture (1000 hl),0
2009,Hungary,Red and rose wine,Imports0 bottled (1000 hl),0
2009,Hungary,Red and rose wine,Exports0 bottled (1000 hl),0
2009,Hungary,White wine,Official production (1000 hl),2345.2
2009,Hungary,White wine,Most intended for the production of grape juice (1000 hl),0
2009,Hungary,White wine,Usable production (1000 hl),2345.2
2009,Hungary,White wine,Total production other than for vinification (1000 hl),0
2009,Hungary,White wine,Losses from evaporation (1000 hl),0
2009,Hungary,White wine,Imports from EU (1000 t),0
2009,Hungary,White wine,Imports from third countries (1000 hl),0.2
2009,Hungary,White wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),552.2
2009,Hungary,White wine,Gross human consumption (1000 hl),1439.1
2009,Hungary,White wine,Degree of self-sufficiency (%),155879
2009,Hungary,White wine,Vinegar manufacture (1000 hl),0
2009,Hungary,White wine,Imports0 bottled (1000 hl),0.2
2009,Hungary,White wine,Exports0 bottled (1000 hl),26.8
2009,Hungary,Quality wines P.S.R. - Total,Official production (1000 hl),2083
2009,Hungary,Quality wines P.S.R. - Total,Most intended for the production of grape juice (1000 hl),0
2009,Hungary,Quality wines P.S.R. - Total,Usable production (1000 hl),2083
2009,Hungary,Quality wines P.S.R. - Total,Total production other than for vinification (1000 hl),0
2009,Hungary,Quality wines P.S.R. - Total,Losses from evaporation (1000 hl),0
2009,Hungary,Quality wines P.S.R. - Total,Imports from EU (1000 t),0
2009,Hungary,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2009,Hungary,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),182.5
2009,Hungary,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),1610.2
2009,Hungary,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),126719
