year,country,wine_type,activity_type,quantity
2006,Hungary,White wine,Imports0 bottled (1000 hl),0.4
2006,Hungary,White wine,Exports0 bottled (1000 hl),31.2
2006,Hungary,Quality wines P.S.R. - Total,Official production (1000 hl),1722.3
2006,Hungary,Quality wines P.S.R. - Total,Most intended for the production of grape juice (1000 hl),0
2006,Hungary,Quality wines P.S.R. - Total,Usable production (1000 hl),1722.3
2006,Hungary,Quality wines P.S.R. - Total,Total production other than for vinification (1000 hl),0
2006,Hungary,Quality wines P.S.R. - Total,Losses from evaporation (1000 hl),0
2006,Hungary,Quality wines P.S.R. - Total,Imports from EU (1000 t),40.2
2006,Hungary,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2006,Hungary,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),165
2006,Hungary,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),1912.9
2006,Hungary,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),87953
2006,Hungary,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2006,Hungary,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2006,Hungary,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),20.6
2007,Hungary,Vermouth,Official production (1000 hl),0
2007,Hungary,Vermouth,Most intended for the production of grape juice (1000 hl),0
2007,Hungary,Vermouth,Usable production (1000 hl),0
2007,Hungary,Vermouth,Total production other than for vinification (1000 hl),0
2007,Hungary,Vermouth,Losses from evaporation (1000 hl),0
2007,Hungary,Vermouth,Imports from EU (1000 t),0
2007,Hungary,Vermouth,Imports from third countries (1000 hl),0
2007,Hungary,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2007,Hungary,Vermouth,Gross human consumption (1000 hl),0
2007,Hungary,Vermouth,Degree of self-sufficiency (%),0
2007,Hungary,Vermouth,Vinegar manufacture (1000 hl),0
2007,Hungary,Vermouth,Imports0 bottled (1000 hl),0
2007,Hungary,Vermouth,Exports0 bottled (1000 hl),0
2007,Hungary,Wine - Total,Official production (1000 hl),3144.3
2007,Hungary,Wine - Total,Most intended for the production of grape juice (1000 hl),0
2007,Hungary,Wine - Total,Usable production (1000 hl),3144.3
2007,Hungary,Wine - Total,Total production other than for vinification (1000 hl),0
2007,Hungary,Wine - Total,Losses from evaporation (1000 hl),0
2007,Hungary,Wine - Total,Imports from EU (1000 t),265.9
2007,Hungary,Wine - Total,Imports from third countries (1000 hl),7.8
2007,Hungary,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),752.7
2007,Hungary,Wine - Total,Gross human consumption (1000 hl),3238.7
2007,Hungary,Wine - Total,Degree of self-sufficiency (%),93444
2007,Hungary,Wine - Total,Vinegar manufacture (1000 hl),0.3
2007,Hungary,Wine - Total,Imports0 bottled (1000 hl),0.9
2007,Hungary,Wine - Total,Exports0 bottled (1000 hl),95.7
2007,Hungary,Red and rose wine,Official production (1000 hl),0
2007,Hungary,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2007,Hungary,Red and rose wine,Usable production (1000 hl),0
2007,Hungary,Red and rose wine,Total production other than for vinification (1000 hl),0
2007,Hungary,Red and rose wine,Losses from evaporation (1000 hl),0
2007,Hungary,Red and rose wine,Imports from EU (1000 t),0
2007,Hungary,Red and rose wine,Imports from third countries (1000 hl),0
2007,Hungary,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2007,Hungary,Red and rose wine,Gross human consumption (1000 hl),0
2007,Hungary,Red and rose wine,Degree of self-sufficiency (%),-3693
2007,Hungary,Red and rose wine,Vinegar manufacture (1000 hl),0
2007,Hungary,Red and rose wine,Imports0 bottled (1000 hl),0
2007,Hungary,Red and rose wine,Exports0 bottled (1000 hl),0
2007,Hungary,White wine,Official production (1000 hl),0
2007,Hungary,White wine,Most intended for the production of grape juice (1000 hl),0
2007,Hungary,White wine,Usable production (1000 hl),2147.6
2007,Hungary,White wine,Total production other than for vinification (1000 hl),0
2007,Hungary,White wine,Losses from evaporation (1000 hl),0
2007,Hungary,White wine,Imports from EU (1000 t),100.4
2007,Hungary,White wine,Imports from third countries (1000 hl),1.2
2007,Hungary,White wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),572
2007,Hungary,White wine,Gross human consumption (1000 hl),2120.6
2007,Hungary,White wine,Degree of self-sufficiency (%),97137
2007,Hungary,White wine,Vinegar manufacture (1000 hl),0.2
2007,Hungary,White wine,Imports0 bottled (1000 hl),0.2
2007,Hungary,White wine,Exports0 bottled (1000 hl),51.3
2007,Hungary,Quality wines P.S.R. - Total,Official production (1000 hl),0
2007,Hungary,Quality wines P.S.R. - Total,Most intended for the production of grape juice (1000 hl),0
2007,Hungary,Quality wines P.S.R. - Total,Usable production (1000 hl),1980.9
