"approval_code","business_name","location","prefecture_name_gr","region_name_gr","activity","latitude","longitude"
"EL-245","ΠΑΝΑΓΙΩΤΗΣ ΟΙΚΟΝΟΜΟΥ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"EL-275","ΑΦΟΙ ΠΟΛΥΧΡΟΝΑΚΗ ΤΟΥ ΠΟΛΥΧΡΟΝΗ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"EL-295","ΦΑΡΜΑ ΚΑΤΕΡΙΝΑ Α. Ε.","Μάνδρα","Δυτικής Αττικής","Αττικής","EPC",38.0743296,23.4972606
"EL-300","ΠΑΠΑΘΑΝΑΣΙΟΥ ΚΩΝ/ΝΟΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-125","ΙΕΡ. & ΧΡ. ΜΟΥΣΤΑΚΑΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-133","ΣΠ. & ΔΗΜ. ΒΑΣΙΛΕΙΟΥ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-14","ΠΤΗΝΕΚ Α.Ε","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-142","ΠΑΤΣΙΡΗΣ ΠΑΝΑΓΙΩΤΗΣ & ΣΤΕΦΑΝΟΣ","Πετρούνι","Δυτικής Αττικής","Αττικής","ΕΡC",36.3207722,22.934567
"GR-152","ΡΟΥΜΕΛΙΩΤΗΣ ΣΑΒΒΑΣ","Ελευσίνα","Δυτικής Αττικής","Αττικής","ΕΡC",38.047608,23.5348663
"GR-162","ΖΑΧΑΡΙΑΣ ΙΕΡ.& ΚΩΝ.","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-173","ΜΑΥΡΟΝΑΣΙΟΣ ΓΕΩΡΓΙΟΣ & ΙΩΑΝΝΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","ΕΡC",37.9952543,23.3417858
"EL-277","ΜΑΓΔΑΛΗΝΗ ΝΗΣΙΩΤΗ","Πεταλούδες","Δωδεκανήσων","Νοτίου Αιγαίου","ΕPC",36.3388467,28.060294
"EL-289","Π. ΝΙΚΟΛΙΝΑΚΟΣ - Ι. ΛΕΜΠΕΣΗΣ ΚΑΙ ΣΙΑ ΕΕ","Απιδέα","Λακωνίας","Πελοποννήσου","EPC",36.8817212,22.7979033
"EL-278","ΚΑΤΣΑΜΠΟΥΚΑΣ ΖΗΣΙΜΟΣ","Σοφικό","Κορινθίας","Πελοποννήσου","ΕPC",41.4190013,26.5610102
"EL-294","ΚΟΝΤΟΣ Ε. ΠΕΤΡΟΣ","Πλατανά","Λακωνίας","Πελοποννήσου","EPC",37.290807,21.9411009
"EL-296","ΓΚΟΛΕΜΗΣ ΧΡΗΣΤΟΣ","Παλαιοπαναγιά","Λακωνίας","Πελοποννήσου","EPC",36.9803289,22.4413029
"EL-279","ΨΑΡΙΑΝΟΣ ΠΑΝΑΓΙΩΤΗΣ","Καλημεριάνοι","Ευβοίας","Στερεάς Ελλάδας","ΕPC",38.6176023,24.0895859
"EL-290","ΑΝΔΡΟΥΤΣΟΣ ΧΡΗΣΤΟΣ ΚΟΚΟΦΑΡΜ","Νέα Αρτάκη","Ευβοίας","Στερεάς Ελλάδας","EPC",38.5134809,23.6369154
"EL-4","ΖΑΣΠΑ ΓΕΩΡΓΟΠΤΗΝΟΤΡΟΦΙΚΗ & ΤΡΟΦΙΜΩΝ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ","Σαλακός Ρόδου","Δωδεκανήσων","Νοτίου Αιγαίου","EPC",36.2896251,27.9434229
"GR-147","ΕΜΜ. ΠΑΠΑΣΑΒΒΑ - ΧΡ. ΠΑΠΑΝΔΡΕΟΥ","Προφυλία","Δωδεκανήσων","Νοτίου Αιγαίου","EPC",36.0993981,27.8467474
"EL-38","ΣΚΛΙΑΣ ΔΗΜΗΤΡΙΟΣ","Ισθμός","Κορινθίας","Πελοποννήσου","EPC",37.9262453,22.9943285
"GR-123","ΓΕΩΡΓΙΟΣ ΓΚΙΝΗΣ","Ισθμός","Κορινθίας","Πελοποννήσου","EPC",37.9262453,22.9943285
"GR-100","ΓΕΩΡΓΙΟΣ ΑΛΕΥΡΑΣ","Αγιά","Λαρίσης","Θεσσαλίας","EPC",39.7182438,22.7558517
"GR-101","ΑΘΑΝ. Π. ΠΛΙΑΤΣΙΚΑΣ","Τύρναβος","Λαρίσης","Θεσσαλίας","EPC",39.7388604,22.2882216
"GR-165","ΝΙΚΟΛΑΟΣ ΠΑΠΑΓΙΑΝΝΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-167","ΓΕΩΡΓΙΟΣ ΜΟΥΣΤΑΚΑΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-168","ΕΥΑΓΓΕΛΟΣ ΒΕΝΕΤΗΣ & ΣΙΑ ΟΕ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-17","ΓΕΩΡΓΙΟΣ ΤΣΟΛΙΑΚΟΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-172","Κ.ΚΑΡΑΓΙΑΝΝΗΣ&ΣΙΑ ΟΕ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-197","ΣΑΚΕΛΛΑΡΙΟΥ Δ. ΠΑΝ. ΣΑΚΕΛΛΑΡΙΟΥ Δ. ΧΡ. & ΣΑΚΕΛΛΑΡΙΟΥ Ι. ΧΡ.","Πετρούνι","Δυτικής Αττικής","Αττικής","EPC",36.3207722,22.934567
