id,date,fund,category,measure,payment_amount,payments_number
131,03-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Πρόσθετη Ενίσχυση Αιγοπροβειου 2013,112690.05,187
132,03-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Πρόσθετη Ενίσχυση Θηλαζουσών Αγελάδων 2013,19131.9,18
133,03-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Πρόσθετη Ενίσχυση Μετακινούμενων Αιγοπροβάτων 2013,10921.92,11
134,03-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Πρόσθετη Ενίσχυση Μοσχίδων Αναπαραγωγής 2013,2048.59,2
135,03-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,14425.28,8
136,03-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Προϊόντων – Τρίτες Χώρες,486132.93,2
137,03-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,ΦΠΑ νησιών Αιγαίου,29938.64,15
138,03-03-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ334 – Ανάπτυξη νέων αγορών και εκστρατείες προώθησης,142232.72,1
139,03-03-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,103891.32,2
140,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Ανοιξιάτικης Πατάτας 2013,2547.57,14
141,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Εσπεριδοειδών Δωδεκανήσων 2013,500,2
142,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Εσπεριδοειδών Καλύμνου 2013,553.72,1
143,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Εσπεριδοειδών Σάμου 2013,436.1,2
144,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Εσπεριδοειδών Χίου 2013,90,1
145,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Κριθαριού Λήμνου 2013,52.97,3
146,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Μαστίχας Χίου 2013,2531.83,4
147,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Τοματακιού Σαντορίνης 2013,95,1
148,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Ενίσχυση για την Καλλιέργεια Φθινοπωρινής Πατάτας 2013,3325.09,16
149,04-03-2016,ΕΓΤΕ,Άμεσες Ενισχύσεις,Στρεμματική Ενίσχυση VQPRD 2013,693,2
150,04-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,Μεταφορικά νησιών Αιγαίου,84765.36,19
151,04-03-2016,ΕΓΤΕ,Μέτρα Αγοράς,Προώθηση Οίνων – Τρίτες Χώρες,1590222.4,2
152,04-03-2016,ΕΤΑ,Πληρωμές ΕΤΑ 2007-2013,Μ113 – Επενδύσεις στα αλιευτικά σκάφη και στην επιλεκτικότητα των αλιευτικών εργαλείων,14218.53,2
153,04-03-2016,Λοιπές Πληρωμές ΕΛΕΓΕΠ,Λοιπές Πληρωμές,Παροχή Υπηρεσιών,81776.13,2
